colsample_bylevel,colsample_bynode,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,colsample_bylevel_i,colsample_bynode_i,colsample_bytree_i,gamma_i,learning_rate_i,max_depth_i,min_child_weight_i,n_estimators_i,reg_alpha_i,reg_lambda_i,subsample_i
0.8,0.5,1.0,1.5,0.05,90,1,1000,0.5,0.5,0.5,7,0,9,12,5,23,0,14,5,0,0
1.0,1.0,1.0,0.1,1.0,40,1,500,3.0,0.5,0.5,9,5,9,1,17,18,0,12,8,0,0
