boosting_type,colsample_bynode,colsample_bytree,drop_rate,learning_rate,max_bin,max_depth,min_child_weight,min_data_in_leaf,min_split_gain,n_estimators,reg_alpha,reg_lambda,subsample,boosting_type_i,colsample_bynode_i,colsample_bytree_i,drop_rate_i,learning_rate_i,max_bin_i,max_depth_i,min_child_weight_i,min_data_in_leaf_i,min_split_gain_i,n_estimators_i,reg_alpha_i,reg_lambda_i,subsample_i
gbdt_0,0.8,0.6,0.6,0.1,1024,18,8,50,0.0,250,1.0,0.5,0.9,0,7,5,5,6,2,13,7,4,0,9,6,0,4
dart_1,0.6,1.0,0.5,0.9,1024,35,8,20,0.0,100,1.0,0.5,1.0,5,5,9,4,16,2,17,7,3,0,6,6,0,5
